userId,productId,rating,comment
9881974,135552451,5,
26739147,135552451,5,sách ổn
19708691,135552451,4,
28048340,135552451,4,Hay chất lươjng tốt dễ hiêyr
12392788,135552451,5,
18227132,135552451,5,
11929490,135552451,5,
28811006,135552451,5,
9628409,135552451,5,"Rất thích ạ
Biết rất rất nhiều về lịch sử luôn"
27473805,135552451,5,
11943528,135552451,5,
8455086,135552451,5,
21644036,135552451,4,"Hài lòng. Tuy nhiên, sách không có màng bọc nilong bên ngoài"
21639613,135552451,5,
14223233,135552451,5,
5918045,135552451,5,
22068962,135552451,4,
263975,135552451,5,
5756009,135552451,4,
828755,135552451,5,
19457479,135552451,5,
26959942,135552451,5,
13075512,135552451,5,"Sách mới, không quăn hay rách, giấy đẹp mực in tốt"
264044,135552451,5,
12763649,135552451,5,
10307316,135552451,5,
17569609,135552451,5,
21182697,135552451,5,
21400981,135552451,5,Good
14747480,135552451,5,
41051,135552451,5,
15907115,135552451,5,
27647882,135552451,5,
20605611,135552451,5,
28039950,135552451,5,
9979793,135552451,5,
1610077,135552451,3,Đợt này quyển nào cũng dơ cũ.
5698602,135552451,5,
18376295,135552451,5,
2154537,135552451,5,
15665328,135552451,5,
23770724,135552451,4,
22322058,135552451,5,
14776108,135552451,5,
27357963,135552451,5,
17162952,135552451,5,
12347609,135552451,5,
470130,135552451,5,
27352893,135552451,5,
22748155,135552451,5,
13430043,135552451,5,
11477703,135552451,5,
26965210,135552451,5,đẹp
25777593,135552451,5,Tốt
22477316,135552451,5,
19208641,135552451,5,
14645067,135552451,4,
26908889,135552451,5,
15751282,135552451,5,
1464242,136941163,5,"Mình đặt buổi sáng thì buổi chiều nhận, trước tiên quá là ưng dịch vụ Tiki Now. Cảm ơn Tiki cho cảm giác quá tốt

Mình đặt cả 3 quyển của cụ Lê. 

Sách mới, bìa đẹp, in rõ chữ

Còn nội dung thì mình chưa đọc nên chưa đánh giá"
27816742,136941163,5,"Cuốn sách được học giả Nguyễn Hiến Lê viết cách đây gần 70 năm nhưng không hề lạc hậu chút nào. Cách trình bày cô đọng, súc tích, dễ đọc, dễ hiểu, không mang nặng tính hàn lâm; đặc biệt là tính khách quan khi nhìn nhận, đánh giá các vấn đề. Đây là cuốn sách rất có giá trị cả về phương diện “truyền bá” và nghiên cứu lịch sử văn minh nhân loại."
9850422,136941163,5,"Quyển sách lịch sử thế giới này mình đã trông đợi từ lâu, hôm nay thấy sale là đặt luôn. Tiki giao hàng rata nhanh, đặt từ sáng mà đến trưa đã được nhận. Sách rất đẹp, nội dung xem qua thấy hấp dẫn."
21504845,136941163,5,"sách bìa đẹp, thông tin có ích, giao hàng nhanh..."
71345,136941163,5,"Hình thức: bìa đẹp, in rõ nét, giấy tốt
Giao hàng: nhanh
Đóng gói: kĩ, ok
Nội dung: chia ra từng phần rõ ràng, dễ nắm bắt
Nên mua."
20758336,136941163,5,"Sách rất hay, nội dung bổ ích, sách viết đến giai đoạn tầm 1945 về sau chút nên có thể còn ít nhưng mấy phần còn lại khá đầy đủ dễ hiểu"
13812628,136941163,5,
5413047,136941163,5,Giao hàng nhanh. Sach không có màng co nhưng khá mới không bị gãy góc. Hài lòng với chất lượngnsanr phẩm
1080917,136941163,5,
16207536,136941163,5,
7838086,136941163,5,"Giao nhanh, sáng đặt chiều có rồi, nội dung sách thì hay, in ấn trình bày dễ nhìn"
752361,136941163,4,
26341880,136941163,4,
14621601,136941163,5,
1495919,136941163,5,
29463052,136941163,5,
6753313,136941163,5,
19555352,136941163,5,
9109106,136941163,5,
11221264,136941163,4,
1282193,136941163,4,
12128559,136941163,5,"Sách có nội dung hay,chia thành từng phần dễ đọc"
8285535,136941163,4,
22096808,136941163,5,
19514631,136941163,5,
1646542,136941163,5,
11957393,136941163,5,
21186665,136941163,5,Sách ok nha mn
26940415,136941163,5,
18376295,136941163,5,
14223233,136941163,5,
28391875,136941163,4,
9840079,136941163,5,
17200207,136941163,5,
5388791,136941163,5,"Giao hàng chuẩn, đóng gói cẩn thận. Chất lượng Ok"
8306319,136941163,5,
625048,136941163,5,
22552302,136941163,5,
289605,136941163,5,
5118359,136941163,5,
12459254,136941163,5,
14189017,136941163,5,
27013094,136941163,4,
7514252,136941163,5,
7240511,136941163,5,
21444739,136941163,5,sp tốt
515095,136941163,5,"sách hay, đẹp, giá hợp lý."
5329208,136941163,5,Tốt
1321133,136941163,5,Tốt
470130,136941163,5,
12169644,136941163,5,
25786736,136941163,4,
1705973,136941163,5,
7178179,136941163,5,
325189,136941163,5,
19269041,136941163,5,
21863579,136941163,5,
27038737,1374361,5,"Rẻ và giao hàng nhanh lắm, rất hài lòng"
17367050,1374361,5,"Màu sắc rõ nét, bia đẹp"
303807,1374361,5,"sách hay, những câu chuyện nhỏ sinh động, mang đến nhiều thông tin về cuộc đời của ông đến với độc giả."
7255757,1374361,5,
1206484,1374361,5,
16676551,1374361,5,
20667562,1374361,5,
954445,1374361,5,
18025738,138934620,5,"Sách đẹp, cầm chắc tay. Sách vừa về chưa kịp đọc nên mình chẳng thể chia sẻ về nội dung. Mình nhận được ưu đãi từ Tiki nên mua luôn. Khâu đóng gói và vận chuyển nhanh gọn và cẩn thận, mình nhận hàng trong vòng 2h với TikiNOW. Like & Thanks!"
